id,week,center_id,meal_id,checkout_price,base_price,emailer_for_promotion,homepage_featured,num_orders,city_code,region_code,center_type,op_area,category,cuisine
1028232,146,55,1885,158.11,159.11,0,0,0,647,56,TYPE_C,2.0,Beverages,Thai
1127204,146,55,1993,160.11,159.11,0,0,0,647,56,TYPE_C,2.0,Beverages,Thai
1212707,146,55,2539,157.14,159.14,0,0,0,647,56,TYPE_C,2.0,Beverages,Thai
1082698,146,55,2631,162.02,162.02,0,0,0,647,56,TYPE_C,2.0,Beverages,Indian
1400926,146,55,1248,163.93,163.93,0,0,0,647,56,TYPE_C,2.0,Beverages,Indian
1284113,146,55,1778,190.15,190.15,0,0,0,647,56,TYPE_C,2.0,Beverages,Italian
1197966,146,55,1062,191.09,192.09,0,0,0,647,56,TYPE_C,2.0,Beverages,Italian
1132739,146,55,2707,242.56,240.56,0,0,0,647,56,TYPE_C,2.0,Beverages,Italian
1057981,146,55,1207,360.9,360.9,0,0,0,647,56,TYPE_C,2.0,Beverages,Continental
1095932,146,55,1230,383.18,384.18,0,0,0,647,56,TYPE_C,2.0,Beverages,Continental
1454421,146,55,2322,389.0,390.0,0,0,0,647,56,TYPE_C,2.0,Beverages,Continental
1149765,146,55,2290,302.64,303.64,0,0,0,647,56,TYPE_C,2.0,Rice Bowl,Indian
1166964,146,55,1727,466.63,465.63,0,0,0,647,56,TYPE_C,2.0,Rice Bowl,Indian
1010949,146,55,1109,309.43,310.43,0,0,0,647,56,TYPE_C,2.0,Rice Bowl,Indian
1409575,146,55,2577,320.13,320.13,0,1,0,647,56,TYPE_C,2.0,Starters,Thai
1181616,146,55,2640,319.13,319.13,0,0,0,647,56,TYPE_C,2.0,Starters,Thai
1456020,146,55,2826,377.33,379.33,0,0,0,647,56,TYPE_C,2.0,Sandwich,Italian
1264395,146,55,1754,329.86,329.86,0,0,0,647,56,TYPE_C,2.0,Sandwich,Italian
1472931,146,55,1971,344.35,344.35,0,0,0,647,56,TYPE_C,2.0,Sandwich,Italian
1412015,146,55,1198,135.8,190.18,0,0,0,647,56,TYPE_C,2.0,Extras,Thai
1461229,146,55,1311,184.36,228.01,0,0,0,647,56,TYPE_C,2.0,Extras,Thai
1014564,146,55,1803,190.18,243.53,0,0,0,647,56,TYPE_C,2.0,Extras,Thai
1485914,146,55,1558,562.6,562.6,0,0,0,647,56,TYPE_C,2.0,Pizza,Continental
1345389,146,55,2581,563.6,563.6,0,0,0,647,56,TYPE_C,2.0,Pizza,Continental
1006833,146,55,1962,562.6,563.6,0,0,0,647,56,TYPE_C,2.0,Pizza,Continental
1174921,146,55,2444,726.53,727.53,0,0,0,647,56,TYPE_C,2.0,Seafood,Continental
1175393,146,55,2867,726.53,727.53,0,0,0,647,56,TYPE_C,2.0,Seafood,Continental
1152412,146,55,1525,320.13,319.13,0,0,0,647,56,TYPE_C,2.0,Other Snacks,Thai
